label,initial_state,t,delta,mu_power_reference
P0.5,2,139,4.718447854656915e-16,4.2817391522838292e-19
P0.5,2,140,4.718447854656915e-16,3.1643714520227445e-19
P0.5,2,141,4.718447854656915e-16,2.3385933449578743e-19
P0.5,2,142,4.718447854656915e-16,1.728311266866387e-19
P0.5,2,143,4.718447854656915e-16,1.2772891198110815e-19
P0.5,2,144,4.718447854656915e-16,9.439662443130351e-20
P0.5,2,145,4.718447854656915e-16,6.976276996192151e-20
P0.5,2,146,4.718447854656915e-16,5.155739521492942e-20
P0.5,2,147,4.718447854656915e-16,3.810291653842485e-20
P0.5,2,148,4.718447854656915e-16,2.815953448931734e-20
P0.5,2,149,4.718447854656915e-16,2.0810989149751665e-20
P0.5,2,150,4.718447854656915e-16,1.538012887092939e-20
P0.5,2,151,4.718447854656915e-16,1.1366512297144632e-20
P0.5,2,152,4.718447854656915e-16,8.400293839237054e-21
P0.5,2,153,4.718447854656915e-16,6.208143249292973e-21
P0.5,2,154,4.718447854656915e-16,4.5880588633364224e-21
P0.5,2,155,4.718447854656915e-16,3.390753609919884e-21
P0.5,2,156,4.718447854656915e-16,2.5058985478717223e-21
P0.5,2,157,4.718447854656915e-16,1.8519563066612727e-21
P0.5,2,158,4.718447854656915e-16,1.3686676041595404e-21
P0.5,2,159,4.718447854656915e-16,1.0114984915885702e-21
P0.5,2,160,4.718447854656915e-16,7.475366519792998e-22
P0.5,2,161,4.718447854656915e-16,5.524586054249094e-22
P0.5,2,162,4.718447854656915e-16,4.082883560289795e-22
P0.5,2,163,4.718447854656915e-16,3.0174094499013946e-22
P0.5,2,164,4.718447854656915e-16,2.2299827202782135e-22
P0.5,2,165,4.718447854656915e-16,1.6480437989288885e-22
P0.5,2,166,4.718447854656915e-16,1.2179683449964615e-22
P0.5,2,167,4.718447854656915e-16,9.00125888873557e-23
P0.5,2,168,4.718447854656915e-16,6.652279750528038e-23
P0.5,2,169,4.718447854656915e-16,4.916292979270336e-23
P0.5,2,170,4.718447854656915e-16,3.633331363748534e-23
P0.5,2,171,4.718447854656915e-16,2.6851729248971766e-23
P0.5,2,172,4.718447854656915e-16,1.984447030771807e-23
P0.5,2,173,4.718447854656915e-16,1.4665833926095616e-23
P0.5,2,174,4.718447854656915e-16,1.083862060375398e-23
P0.5,2,175,4.718447854656915e-16,8.010161384896784e-24
P0.5,2,176,4.718447854656915e-16,5.919820220468707e-24
P0.5,2,177,4.718447854656915e-16,4.374976952242984e-24
P0.5,2,178,4.718447854656915e-16,3.2332778057138115e-24
P0.5,2,179,4.718447854656915e-16,2.389517815302288e-24
P0.5,2,180,4.718447854656915e-16,1.7659464273551546e-24
P0.5,2,181,4.718447854656915e-16,1.3051029644212624e-24
P0.5,2,182,4.718447854656915e-16,9.645217552223133e-25
P0.5,2,183,4.718447854656915e-16,7.128190201526875e-25
P0.5,2,184,4.718447854656915e-16,5.26800927755458e-25
P0.5,2,185,4.718447854656915e-16,3.8932633619199167e-25
P0.5,2,186,4.718447854656915e-16,2.877272762189233e-25
P0.5,2,187,4.718447854656915e-16,2.1264162679078347e-25
P0.5,2,188,4.718447854656915e-16,1.5715041701443335e-25
P0.5,2,189,4.718447854656915e-16,1.1614025880317762e-25
P0.5,2,190,4.718447854656915e-16,8.583215985758555e-26
P0.5,2,191,4.718447854656915e-16,6.343329816668666e-26
P0.5,2,192,4.718447854656915e-16,4.6879669846128945e-26
P0.5,2,193,4.718447854656915e-16,3.4645895900084575e-26
P0.5,2,194,4.718447854656915e-16,2.5604662034935687e-26
P0.5,2,195,4.718447854656915e-16,1.892283922499682e-26
P0.5,2,196,4.718447854656915e-16,1.3984712777950858e-26
P0.5,2,197,4.718447854656915e-16,1.0335245633933922e-26
P0.5,2,198,4.718447854656915e-16,7.638147741022242e-27
P0.5,2,199,4.718447854656915e-16,5.644887695956639e-27
P0.5,2,200,4.718447854656915e-16,4.171791143659925e-27
P0.5,3,0,0.7951127819548873,0.7951127819548873
P0.5,3,1,0.5451127819548873,0.5876192123974691
P0.5,3,2,0.37511278195488723,0.434273409527723
P0.5,3,3,0.2591127819548872,0.3209449082738086
P0.5,3,4,0.17967528195488724,0.23719074639845708
P0.5,3,5,0.12507434445488727,0.17529316940918846
P0.5,3,6,0.0899774854029607,0.12954845713035928
P0.5,3,7,0.06634132260999198,0.09574133893192546
P0.5,3,8,0.048929900449347474,0.07075656618012864
P0.5,3,9,0.03609819149115652,0.052291849199671926
P0.5,3,10,0.026637960089146914,0.03864570654488843
P0.5,3,11,0.0196610451217335,0.028560677375375796
P0.5,3,12,0.01451409580048453,0.021107449315044154
P0.5,3,13,0.010716190518451504,0.015599224441759091
P0.5,3,14,0.007913136936643084,0.011528432429347996
P0.5,3,15,0.00584395374421201,0.008519959102726724
P0.5,3,16,0.004316262038069313,0.006296580524455688
P0.5,3,17,0.003188202042565688,0.00465341744284501
P0.5,3,18,0.002355134650635207,0.0034390561374177155
P0.5,3,19,0.0017398551846175558,0.0025415959908122046
P0.5,3,20,0.0012853875930506214,0.0018783381027804552
P0.5,3,21,0.0009496760036743768,0.0013881647756413898
P0.5,3,22,0.0007016723363185012,0.001025907658200097
P0.5,3,23,0.0005184517407109956,0.0007581855854736801
P0.5,3,24,0.0003830851454078854,0.0005603285806722647
P0.5,3,25,0.00028306975680175706,0.0004141045732517344
P0.5,3,26,0.00020917089726069094,0.00030603935530517035
P0.5,3,27,0.00015456719803665087,0.00022617496411629406
P0.5,3,28,0.00011421957558786777,0.0001671520786664743
P0.5,3,29,8.440533335608846e-05,0.00012353187503174394
P0.5,3,30,6.237413283839699e-05,9.129485119540502e-05
P0.5,3,31,4.6093925975404515e-05,6.747043912876226e-05
P0.5,3,32,3.4063305782150444e-05,4.9863273740207734e-05
P0.5,3,33,2.5172900242037555e-05,3.685089500226738e-05
P0.5,3,34,1.8602984115170806e-05,2.7234241970220015e-05
P0.5,3,35,1.3747840044653348e-05,2.0127162057986854e-05
P0.5,3,36,1.015987752725489e-05,1.4874754103728518e-05
P0.5,3,37,7.508346778997699e-06,1.0993020725372891e-05
P0.5,3,38,5.548834383348189e-06,8.124269068635322e-06
P0.5,3,39,4.100724290967417e-06,6.004150228448309e-06
P0.5,3,40,3.030543739943048e-06,4.437300101857824e-06
P0.5,3,41,2.2396572256777603e-06,3.279337032683803e-06
P0.5,3,42,1.6551731275293857e-06,2.423557372067052e-06
P0.5,3,43,1.2232241543286282e-06,1.791102981230809e-06
P0.5,3,44,9.040018423001062e-07,1.3236946343208484e-06
P0.5,3,45,6.680871806052924e-07,9.78261721012686e-07
P0.5,3,46,4.937390074705172e-07,7.229733882616448e-07
P0.5,3,47,3.64890160406417e-07,5.343053999837991e-07
P0.5,3,48,2.6966663704830474e-07,3.948724324947507e-07
P0.5,3,49,1.9929325055512148e-07,2.918260566878967e-07
P0.5,3,50,1.472849001094012e-07,2.156707846733251e-07
P0.5,3,51,1.0884890992712837e-07,1.593890822825106e-07
P0.5,3,52,8.044334806611708e-08,1.1779471934198929e-07
P0.5,3,53,5.9450615957912234e-08,8.70548704224553e-08
P0.5,3,54,4.393622335396863e-08,6.433692874014107e-08
P0.5,3,55,3.247051759414088e-08,4.7547487919139984e-08
P0.5,3,56,2.3996936729386853e-08,3.513943938095117e-08
P0.5,3,57,1.7734644766620455e-08,2.5969409826812074e-08
P0.5,3,58,1.3106576296495476e-08,1.919240200281955e-08
P0.5,3,59,9.686259364038996e-09,1.4183930135275209e-08
P0.5,3,60,7.158515766270135e-09,1.0482474994678224e-08
P0.5,3,61,5.290417326442309e-09,7.74695595410321e-09
P0.5,3,62,3.909821411074432e-09,5.725301189393149e-09
P0.5,3,63,2.8895082992974608e-09,4.2312198369870714e-09
P0.5,3,64,2.135457838337018e-09,3.127035716842443e-09
P0.5,3,65,1.5781856793628535e-09,2.311000787274436e-09
P0.5,3,66,1.166340121705467e-09,1.7079192955864015e-09
P0.5,3,67,8.619704117140969e-10,1.2622186614123168e-09
P0.5,3,68,6.370294292068479e-10,9.328285905163273e-10
P0.5,3,69,4.707894074584829e-10,6.89396541096161e-10
P0.5,3,70,3.4793161407531414e-10,5.094908064645476e-10
P0.5,3,71,2.5713492446399755e-10,3.7653348457355733e-10
P0.5,3,72,1.900326979109579e-10,2.78272862250304e-10
P0.5,3,73,1.4044154728054536e-10,2.0565444784459602e-10
P0.5,3,74,1.037917668478272e-10,1.519866205286767e-10
P0.5,3,75,7.670615531640834e-11,1.1232401273997031e-10
P0.5,3,76,5.668884806020458e-11,8.301180586898115e-11
P0.5,3,77,4.1895320546103676e-11,6.134894708206302e-11
P0.5,3,78,3.0962288288804984e-11,4.533925347941553e-11
P0.5,3,79,2.2882334915763636e-11,3.350746840562673e-11
P0.5,3,80,1.6911028133392847e-11,2.4763319922411454e-11
P0.5,3,81,1.2498044266173736e-11,1.830105474267119e-11
